Sensor_ID,Machine_ID,Voltage_Reading,Pressure_Reading,Gas_Flow,RF_Power,Temperature,Sensor_Status,Drift_Status,Timestamp
SENS_000053,MACH_001,120.367,50.03,450.71,1469.7,249.63,Active,Stable,2026-05-07 13:13:00
SENS_000054,MACH_002,120.478,49.868,446.57,1506.5,248.9,Active,Stable,2026-05-07 13:10:00
SENS_000055,MACH_005,120.704,49.907,451.62,1469.3,248.12,Active,Stable,2026-05-07 13:07:00
SENS_000056,MACH_001,119.623,49.942,449.6,1470.0,249.85,Active,Stable,2026-05-07 13:04:00
SENS_000057,MACH_004,120.816,50.025,451.37,1425.5,250.09,Active,Stable,2026-05-07 13:01:00
SENS_000058,MACH_001,120.134,50.009,448.89,1505.8,249.52,Active,Stable,2026-05-07 12:58:00
SENS_000059,MACH_004,119.454,49.751,448.12,1518.9,250.63,Active,Stable,2026-05-07 12:55:00
SENS_000060,MACH_003,119.697,50.038,452.04,1470.6,249.26,Active,Stable,2026-05-07 12:52:00
SENS_000061,MACH_005,119.581,49.989,449.92,1532.9,249.89,Active,Stable,2026-05-07 12:49:00
SENS_000062,MACH_001,120.388,50.015,450.99,1511.7,248.48,Active,Stable,2026-05-07 12:46:00
SENS_000063,MACH_004,119.665,49.852,450.09,1525.5,248.66,Active,Stable,2026-05-07 12:43:00
SENS_000064,MACH_003,119.85,50.035,449.37,1526.8,248.95,Active,Stable,2026-05-07 12:40:00
SENS_000065,MACH_003,120.233,50.035,450.81,1405.9,249.84,Active,Stable,2026-05-07 12:37:00
SENS_000066,MACH_002,120.152,50.105,451.19,1510.1,251.66,Active,Stable,2026-05-07 12:34:00
SENS_000067,MACH_003,119.291,50.033,451.41,1464.8,250.18,Active,Stable,2026-05-07 12:31:00
SENS_000068,MACH_004,120.625,49.977,446.62,1577.3,249.06,Fault,Drifting,2026-05-07 12:28:00
SENS_000069,MACH_005,120.079,50.113,449.55,1530.0,249.13,Warning,Drifting,2026-05-07 12:25:00
SENS_000070,MACH_001,120.266,50.054,456.0,1479.2,250.35,Active,Stable,2026-05-07 12:22:00
SENS_000071,MACH_002,120.446,49.998,451.91,1538.3,249.58,Active,Stable,2026-05-07 12:19:00
SENS_000072,MACH_002,120.269,50.045,448.53,1576.8,249.55,Active,Stable,2026-05-07 12:16:00
SENS_000073,MACH_003,120.146,49.921,449.76,1452.7,251.14,Active,Stable,2026-05-07 12:13:00
SENS_000074,MACH_004,120.012,50.009,449.62,1526.5,250.25,Active,Stable,2026-05-07 12:10:00
SENS_000075,MACH_002,119.466,49.834,449.08,1430.7,250.53,Active,Stable,2026-05-07 12:07:00
SENS_000076,MACH_004,120.44,50.086,450.78,1514.4,249.0,Active,Stable,2026-05-07 12:04:00
SENS_000077,MACH_005,119.669,50.147,445.61,1471.7,250.49,Active,Stable,2026-05-07 12:01:00
SENS_000078,MACH_003,119.344,49.807,447.63,1411.7,251.44,Fault,Drifting,2026-05-07 11:58:00
SENS_000079,MACH_001,119.342,49.865,451.54,1444.6,250.04,Active,Stable,2026-05-07 11:55:00
SENS_000080,MACH_003,120.88,49.916,450.78,1483.0,249.13,Active,Stable,2026-05-07 11:52:00
SENS_000081,MACH_005,120.329,49.991,452.74,1452.4,247.8,Active,Stable,2026-05-07 11:49:00
SENS_000082,MACH_003,120.197,49.907,449.99,1498.8,249.45,Active,Stable,2026-05-07 11:46:00
SENS_000083,MACH_001,121.491,49.908,452.43,1577.2,248.55,Active,Stable,2026-05-07 11:43:00
SENS_000084,MACH_002,119.544,49.893,449.61,1493.7,251.09,Active,Stable,2026-05-07 11:40:00
SENS_000085,MACH_004,119.173,49.997,448.14,1463.1,249.33,Active,Stable,2026-05-07 11:37:00
SENS_000086,MACH_005,120.035,49.87,448.94,1530.0,250.05,Active,Stable,2026-05-07 11:34:00
SENS_000087,MACH_005,120.013,49.984,449.56,1556.7,250.21,Active,Stable,2026-05-07 11:31:00
SENS_000088,MACH_005,120.847,50.123,449.83,1508.7,249.16,Active,Stable,2026-05-07 11:28:00
SENS_000089,MACH_003,120.665,49.966,450.71,1385.9,249.73,Active,Stable,2026-05-07 11:25:00
SENS_000090,MACH_004,119.814,50.058,450.01,1549.1,248.6,Warning,Drifting,2026-05-07 11:22:00
SENS_000091,MACH_001,119.981,49.673,447.97,1602.1,249.73,Active,Stable,2026-05-07 11:19:00
SENS_000092,MACH_005,119.947,49.871,449.31,1527.0,250.95,Active,Stable,2026-05-07 11:16:00
SENS_000093,MACH_005,118.663,50.178,449.56,1478.2,251.24,Active,Stable,2026-05-07 11:13:00
SENS_000094,MACH_003,119.844,49.917,450.46,1501.8,250.57,Active,Stable,2026-05-07 11:10:00
SENS_000095,MACH_003,120.448,49.99,450.3,1494.7,249.82,Active,Stable,2026-05-07 11:07:00
SENS_000096,MACH_001,120.071,50.044,452.35,1575.4,248.39,Active,Stable,2026-05-07 11:04:00
SENS_000097,MACH_005,119.451,49.882,449.66,1492.1,247.89,Active,Stable,2026-05-07 11:01:00
SENS_000098,MACH_001,121.139,50.0,448.4,1519.6,249.57,Warning,Drifting,2026-05-07 10:58:00
SENS_000099,MACH_002,119.599,49.979,452.37,1476.4,249.87,Active,Stable,2026-05-07 10:55:00
SENS_000100,MACH_005,119.867,49.864,449.83,1457.8,250.57,Active,Stable,2026-05-07 10:52:00
SENS_000101,MACH_001,119.694,49.949,450.08,1522.9,252.13,Active,Stable,2026-05-07 10:49:00
SENS_000102,MACH_002,119.705,49.923,448.12,1468.3,250.42,Active,Stable,2026-05-07 10:46:00
SENS_000103,MACH_002,120.777,50.072,448.35,1504.6,250.13,Active,Stable,2026-05-07 10:43:00
SENS_000104,MACH_002,120.129,49.926,448.69,1499.2,250.06,Active,Stable,2026-05-07 10:40:00
SENS_000105,MACH_001,120.514,50.048,451.24,1562.7,250.21,Active,Stable,2026-05-07 10:37:00
SENS_000106,MACH_002,120.755,50.127,449.0,1455.7,249.83,Active,Stable,2026-05-07 10:34:00
SENS_000107,MACH_003,120.076,50.049,450.22,1542.1,251.44,Fault,Drifting,2026-05-07 10:31:00
SENS_000108,MACH_003,119.043,49.965,451.19,1457.5,249.13,Active,Stable,2026-05-07 10:28:00
SENS_000109,MACH_001,119.642,49.988,451.05,1437.3,250.95,Active,Stable,2026-05-07 10:25:00
SENS_000110,MACH_001,120.044,50.032,448.95,1474.4,250.21,Warning,Drifting,2026-05-07 10:22:00
SENS_000111,MACH_003,119.559,50.095,450.94,1501.3,248.46,Active,Stable,2026-05-07 10:19:00
SENS_000112,MACH_001,120.419,50.086,449.77,1445.2,249.23,Active,Stable,2026-05-07 10:16:00
SENS_000113,MACH_001,119.676,49.943,448.74,1430.1,248.34,Active,Stable,2026-05-07 10:13:00
SENS_000114,MACH_003,119.93,49.948,450.11,1398.8,249.1,Active,Stable,2026-05-07 10:10:00
SENS_000115,MACH_003,120.617,50.066,447.58,1436.7,248.74,Active,Stable,2026-05-07 10:07:00
SENS_000116,MACH_005,119.907,49.899,449.64,1497.2,251.2,Active,Stable,2026-05-07 10:04:00
SENS_000117,MACH_001,119.641,50.003,450.3,1470.4,251.07,Active,Stable,2026-05-07 10:01:00
SENS_000118,MACH_002,118.294,50.037,447.53,1574.5,249.57,Active,Stable,2026-05-07 09:58:00
SENS_000119,MACH_001,120.485,49.9,449.76,1585.1,249.35,Active,Stable,2026-05-07 09:55:00
SENS_000120,MACH_003,119.561,50.104,449.78,1463.6,250.4,Active,Stable,2026-05-07 09:52:00
SENS_000121,MACH_004,120.572,50.046,450.25,1562.8,248.52,Active,Stable,2026-05-07 09:49:00
SENS_000122,MACH_003,120.688,49.941,448.32,1501.0,248.8,Active,Stable,2026-05-07 09:46:00
SENS_000123,MACH_005,119.528,50.038,450.98,1543.1,248.72,Active,Stable,2026-05-07 09:43:00
SENS_000124,MACH_004,119.411,49.867,450.45,1522.2,250.79,Fault,Drifting,2026-05-07 09:40:00
SENS_000125,MACH_003,120.932,49.998,450.11,1442.9,249.34,Active,Stable,2026-05-07 09:37:00
SENS_000126,MACH_003,120.59,49.913,446.99,1427.4,249.11,Active,Stable,2026-05-07 09:34:00
SENS_000127,MACH_001,120.046,50.093,448.89,1468.6,250.77,Active,Stable,2026-05-07 09:31:00
SENS_000128,MACH_005,120.083,50.065,446.51,1458.2,249.61,Active,Stable,2026-05-07 09:28:00
SENS_000129,MACH_002,119.24,49.965,448.16,1347.7,252.21,Active,Stable,2026-05-07 09:25:00
SENS_000130,MACH_001,119.614,50.187,448.58,1514.0,247.56,Active,Stable,2026-05-07 09:22:00
SENS_000131,MACH_001,120.512,49.9,451.12,1538.1,252.4,Active,Stable,2026-05-07 09:19:00
SENS_000132,MACH_002,119.656,49.888,446.56,1533.0,250.43,Active,Stable,2026-05-07 09:16:00
SENS_000133,MACH_004,119.319,50.045,449.19,1407.3,248.69,Active,Stable,2026-05-07 09:13:00
SENS_000134,MACH_003,120.312,49.883,450.79,1499.6,251.81,Active,Stable,2026-05-07 09:10:00
SENS_000135,MACH_005,121.192,49.935,446.25,1488.7,250.31,Active,Stable,2026-05-07 09:07:00
SENS_000136,MACH_005,120.185,50.069,450.75,1430.8,248.71,Warning,Drifting,2026-05-07 09:04:00
SENS_000137,MACH_004,120.185,49.898,451.49,1512.4,249.7,Active,Stable,2026-05-07 09:01:00
SENS_000138,MACH_002,120.333,49.831,452.01,1592.0,251.2,Active,Stable,2026-05-07 08:58:00
SENS_000139,MACH_001,119.995,50.001,450.25,1466.6,252.23,Active,Stable,2026-05-07 08:55:00
SENS_000140,MACH_005,120.755,50.005,451.37,1423.8,248.29,Active,Stable,2026-05-07 08:52:00
SENS_000141,MACH_001,119.66,49.879,448.37,1424.5,250.0,Active,Stable,2026-05-07 08:49:00
SENS_000142,MACH_002,119.784,50.023,455.99,1564.1,250.82,Active,Stable,2026-05-07 08:46:00
SENS_000143,MACH_001,120.239,49.997,451.92,1656.6,248.89,Active,Stable,2026-05-07 08:43:00
SENS_000144,MACH_003,120.207,50.067,452.63,1444.2,250.3,Active,Stable,2026-05-07 08:40:00
SENS_000145,MACH_001,120.227,50.036,449.0,1449.0,250.52,Active,Stable,2026-05-07 08:37:00
SENS_000146,MACH_005,120.113,50.262,449.4,1524.9,249.92,Active,Stable,2026-05-07 08:34:00
SENS_000147,MACH_001,119.797,50.146,450.25,1543.7,248.69,Active,Stable,2026-05-07 08:31:00
SENS_000148,MACH_004,120.332,50.047,452.28,1542.0,249.56,Warning,Drifting,2026-05-07 08:28:00
SENS_000149,MACH_004,119.255,50.0,448.0,1506.8,250.76,Active,Stable,2026-05-07 08:25:00
SENS_000150,MACH_005,119.693,50.042,452.1,1544.0,249.12,Active,Stable,2026-05-07 08:22:00
SENS_000151,MACH_005,119.797,50.002,446.07,1491.6,250.25,Active,Stable,2026-05-07 08:19:00
SENS_000152,MACH_003,120.991,49.953,446.66,1503.5,249.47,Active,Stable,2026-05-07 08:16:00
SENS_000153,MACH_001,119.394,49.86,449.09,1457.9,249.99,Active,Stable,2026-05-07 08:13:00
SENS_000154,MACH_004,120.811,50.021,448.97,1457.4,249.36,Active,Stable,2026-05-07 08:10:00
SENS_000155,MACH_001,119.974,50.047,453.59,1531.6,252.71,Active,Stable,2026-05-07 08:07:00
SENS_000156,MACH_003,120.316,49.814,451.62,1508.9,250.36,Active,Stable,2026-05-07 08:04:00
SENS_000157,MACH_001,120.007,49.973,449.94,1512.4,250.93,Active,Stable,2026-05-07 08:01:00
SENS_000158,MACH_003,119.962,50.017,451.07,1510.2,248.48,Warning,Drifting,2026-05-07 07:58:00
SENS_000159,MACH_004,120.024,50.006,448.44,1536.0,249.76,Active,Stable,2026-05-07 07:55:00
SENS_000160,MACH_004,119.865,49.978,452.21,1528.8,250.54,Active,Stable,2026-05-07 07:52:00
SENS_000161,MACH_003,119.746,49.824,447.98,1537.2,251.01,Active,Stable,2026-05-07 07:49:00
SENS_000162,MACH_005,119.98,50.064,453.28,1516.7,250.52,Active,Stable,2026-05-07 07:46:00
SENS_000163,MACH_005,119.708,49.889,446.14,1578.1,249.58,Active,Stable,2026-05-07 07:43:00
SENS_000164,MACH_002,119.099,49.95,454.78,1546.1,250.48,Active,Stable,2026-05-07 07:40:00
SENS_000165,MACH_005,120.645,49.97,453.46,1574.6,249.25,Active,Stable,2026-05-07 07:37:00
SENS_000166,MACH_005,119.725,49.737,452.65,1475.3,250.83,Active,Stable,2026-05-07 07:34:00
SENS_000167,MACH_003,120.691,50.01,451.06,1448.7,250.05,Active,Stable,2026-05-07 07:31:00
SENS_000168,MACH_001,120.486,49.89,447.49,1560.9,249.7,Fault,Drifting,2026-05-07 07:28:00
SENS_000169,MACH_005,119.524,49.942,449.32,1458.2,250.04,Active,Stable,2026-05-07 07:25:00
SENS_000170,MACH_002,120.474,50.207,450.49,1554.5,249.53,Active,Stable,2026-05-07 07:22:00
SENS_000171,MACH_002,120.193,49.988,449.79,1542.8,252.27,Fault,Drifting,2026-05-07 07:19:00
SENS_000172,MACH_002,119.914,49.904,443.96,1397.5,250.75,Warning,Drifting,2026-05-07 07:16:00
SENS_000173,MACH_001,120.35,50.1,445.84,1467.5,250.0,Active,Stable,2026-05-07 07:13:00
SENS_000174,MACH_004,120.171,50.009,448.34,1526.2,251.52,Active,Stable,2026-05-07 07:10:00
SENS_000175,MACH_001,119.55,49.806,444.37,1525.3,250.1,Active,Stable,2026-05-07 07:07:00
SENS_000176,MACH_003,119.994,49.949,452.78,1597.8,251.15,Fault,Drifting,2026-05-07 07:04:00
SENS_000177,MACH_002,119.821,49.998,451.05,1533.7,249.56,Active,Stable,2026-05-07 07:01:00
SENS_000178,MACH_005,120.348,50.018,449.69,1495.4,249.5,Active,Stable,2026-05-07 06:58:00
SENS_000179,MACH_002,120.679,50.021,451.94,1422.6,249.68,Active,Stable,2026-05-07 06:55:00
SENS_000180,MACH_004,120.456,50.102,448.57,1480.7,251.63,Active,Stable,2026-05-07 06:52:00
SENS_000181,MACH_005,119.37,50.066,452.84,1369.7,250.47,Active,Stable,2026-05-07 06:49:00
SENS_000182,MACH_001,120.205,49.915,451.11,1553.9,250.43,Warning,Drifting,2026-05-07 06:46:00
SENS_000183,MACH_001,119.85,49.943,451.35,1494.2,250.96,Active,Stable,2026-05-07 06:43:00
SENS_000184,MACH_002,120.05,49.998,452.09,1576.6,251.86,Active,Stable,2026-05-07 06:40:00
SENS_000185,MACH_001,119.593,50.045,448.46,1523.3,251.0,Active,Stable,2026-05-07 06:37:00
SENS_000186,MACH_003,119.76,50.027,449.69,1433.9,251.44,Warning,Drifting,2026-05-07 06:34:00
SENS_000187,MACH_002,119.862,49.956,449.45,1355.9,249.56,Active,Stable,2026-05-07 06:31:00
SENS_000188,MACH_002,119.566,50.13,448.21,1481.4,250.52,Active,Stable,2026-05-07 06:28:00
SENS_000189,MACH_004,118.807,49.8,451.93,1519.1,249.73,Active,Stable,2026-05-07 06:25:00
SENS_000190,MACH_001,119.709,49.847,448.11,1481.8,249.49,Active,Stable,2026-05-07 06:22:00
SENS_000191,MACH_005,119.809,49.921,445.96,1516.7,249.85,Active,Stable,2026-05-07 06:19:00
SENS_000192,MACH_003,118.549,50.019,451.03,1464.7,250.47,Warning,Drifting,2026-05-07 06:16:00
SENS_000193,MACH_003,119.281,49.945,452.89,1538.1,249.71,Active,Stable,2026-05-07 06:13:00
SENS_000194,MACH_004,119.769,50.199,450.28,1469.3,250.21,Active,Stable,2026-05-07 06:10:00
SENS_000195,MACH_002,121.04,49.876,445.78,1581.3,250.3,Active,Stable,2026-05-07 06:07:00
SENS_000196,MACH_001,119.922,50.027,449.39,1505.8,250.81,Active,Stable,2026-05-07 06:04:00
SENS_000197,MACH_002,119.953,49.845,449.26,1523.5,251.32,Active,Stable,2026-05-07 06:01:00
SENS_000198,MACH_005,120.15,50.11,446.65,1493.1,251.08,Active,Stable,2026-05-07 05:58:00
SENS_000199,MACH_003,119.961,49.973,452.66,1496.2,249.9,Active,Stable,2026-05-07 05:55:00
SENS_000200,MACH_003,119.921,50.023,451.77,1551.4,250.01,Warning,Drifting,2026-05-07 05:52:00
SENS_000201,MACH_001,119.702,49.988,448.97,1487.8,250.07,Active,Stable,2026-05-07 05:49:00
SENS_000202,MACH_001,119.678,49.969,450.51,1509.0,250.92,Active,Stable,2026-05-07 05:46:00
SENS_000203,MACH_004,119.926,49.932,447.86,1456.1,249.34,Active,Stable,2026-05-07 05:43:00
SENS_000204,MACH_003,119.479,49.837,450.52,1483.3,251.12,Active,Stable,2026-05-07 05:40:00
SENS_000205,MACH_004,120.418,50.031,448.96,1480.6,249.71,Active,Stable,2026-05-07 05:37:00
SENS_000206,MACH_001,120.556,50.126,449.38,1446.9,249.77,Active,Stable,2026-05-07 05:34:00
SENS_000207,MACH_005,121.234,49.869,449.94,1449.0,247.79,Active,Stable,2026-05-07 05:31:00
SENS_000208,MACH_003,121.059,49.951,451.27,1455.1,250.68,Active,Stable,2026-05-07 05:28:00
SENS_000209,MACH_002,121.036,50.154,451.04,1452.8,249.05,Active,Stable,2026-05-07 05:25:00
SENS_000210,MACH_002,119.321,50.044,449.91,1496.3,249.02,Active,Stable,2026-05-07 05:22:00
SENS_000211,MACH_005,119.469,49.977,448.78,1542.5,250.54,Active,Stable,2026-05-07 05:19:00
SENS_000212,MACH_001,120.385,50.011,450.49,1428.0,251.16,Active,Stable,2026-05-07 05:16:00
SENS_000213,MACH_003,119.547,50.012,451.02,1525.9,251.02,Active,Stable,2026-05-07 05:13:00
SENS_000214,MACH_003,120.405,50.059,452.45,1480.0,248.77,Active,Stable,2026-05-07 05:10:00
SENS_000215,MACH_005,119.603,49.97,452.43,1444.3,252.36,Active,Stable,2026-05-07 05:07:00
SENS_000216,MACH_001,120.302,50.036,447.99,1467.6,249.45,Warning,Drifting,2026-05-07 05:04:00
SENS_000217,MACH_004,119.528,50.135,449.43,1517.4,247.18,Active,Stable,2026-05-07 05:01:00
SENS_000218,MACH_005,120.447,49.92,453.37,1423.4,249.97,Active,Stable,2026-05-07 04:58:00
SENS_000219,MACH_002,119.995,50.017,450.57,1574.8,251.37,Warning,Drifting,2026-05-07 04:55:00
SENS_000220,MACH_003,120.107,50.073,450.91,1576.4,250.21,Active,Stable,2026-05-07 04:52:00
SENS_000221,MACH_004,120.389,49.905,450.21,1512.3,249.03,Active,Stable,2026-05-07 04:49:00
SENS_000222,MACH_002,120.006,50.028,450.74,1549.3,251.29,Active,Stable,2026-05-07 04:46:00
SENS_000223,MACH_003,119.583,49.973,445.09,1536.6,250.34,Active,Stable,2026-05-07 04:43:00
SENS_000224,MACH_005,120.177,49.863,453.29,1506.7,249.13,Active,Stable,2026-05-07 04:40:00
SENS_000225,MACH_002,120.523,50.11,449.96,1478.5,248.58,Warning,Drifting,2026-05-07 04:37:00
SENS_000226,MACH_001,120.407,50.046,450.25,1360.5,250.51,Active,Stable,2026-05-07 04:34:00
SENS_000227,MACH_005,119.419,50.02,448.04,1472.0,252.26,Active,Stable,2026-05-07 04:31:00
SENS_000228,MACH_002,120.432,49.893,448.73,1446.7,250.95,Active,Stable,2026-05-07 04:28:00
SENS_000229,MACH_005,119.993,49.897,452.52,1438.2,250.14,Active,Stable,2026-05-07 04:25:00
SENS_000230,MACH_002,119.501,50.011,446.85,1499.1,250.29,Active,Stable,2026-05-07 04:22:00
SENS_000231,MACH_002,119.275,49.746,448.13,1402.6,250.94,Active,Stable,2026-05-07 04:19:00
SENS_000232,MACH_003,120.531,49.839,447.82,1439.3,249.98,Warning,Drifting,2026-05-07 04:16:00
SENS_000233,MACH_001,120.212,49.966,449.24,1504.9,250.16,Active,Stable,2026-05-07 04:13:00
SENS_000234,MACH_005,119.939,49.855,450.3,1456.3,250.21,Fault,Drifting,2026-05-07 04:10:00
SENS_000235,MACH_005,119.983,49.936,451.69,1503.2,251.96,Active,Stable,2026-05-07 04:07:00
SENS_000236,MACH_003,119.291,50.184,450.91,1406.5,248.21,Active,Stable,2026-05-07 04:04:00
SENS_000237,MACH_005,120.003,49.979,453.96,1488.2,249.58,Active,Stable,2026-05-07 04:01:00
SENS_000238,MACH_005,120.282,50.117,449.59,1500.5,249.28,Active,Stable,2026-05-07 03:58:00
SENS_000239,MACH_005,119.479,50.062,447.35,1579.3,250.76,Active,Stable,2026-05-07 03:55:00
SENS_000240,MACH_004,119.653,50.069,448.86,1530.4,250.12,Active,Stable,2026-05-07 03:52:00
SENS_000241,MACH_003,119.398,49.97,448.71,1529.5,249.01,Active,Stable,2026-05-07 03:49:00
SENS_000242,MACH_004,119.811,50.025,454.08,1548.8,250.13,Active,Stable,2026-05-07 03:46:00
SENS_000243,MACH_002,120.015,49.864,449.41,1513.1,251.57,Active,Stable,2026-05-07 03:43:00
SENS_000244,MACH_001,120.441,49.982,448.34,1484.3,250.89,Active,Stable,2026-05-07 03:40:00
SENS_000245,MACH_004,120.189,49.886,451.09,1477.1,252.02,Warning,Drifting,2026-05-07 03:37:00
SENS_000246,MACH_003,119.81,50.123,448.44,1585.7,251.02,Warning,Drifting,2026-05-07 03:34:00
SENS_000247,MACH_003,119.596,50.266,450.45,1506.9,249.41,Active,Stable,2026-05-07 03:31:00
SENS_000248,MACH_001,119.329,49.996,448.17,1418.9,251.79,Active,Stable,2026-05-07 03:28:00
SENS_000249,MACH_004,119.174,49.971,451.56,1529.4,250.38,Warning,Drifting,2026-05-07 03:25:00
SENS_000250,MACH_003,119.982,49.699,450.95,1494.6,251.46,Active,Stable,2026-05-07 03:22:00
SENS_000251,MACH_001,119.467,49.853,448.94,1480.6,248.92,Active,Stable,2026-05-07 03:19:00
SENS_000252,MACH_004,119.871,49.956,448.17,1586.3,249.17,Active,Stable,2026-05-07 03:16:00
SENS_000253,MACH_001,119.569,49.99,447.46,1584.6,248.95,Active,Stable,2026-05-07 03:13:00
SENS_000254,MACH_002,120.351,50.019,451.88,1469.5,248.85,Warning,Drifting,2026-05-07 03:10:00
