Wafer_ID,Batch_ID,Machine_ID,Process_Step,Yield_Percentage,Defect_Count,Defect_Type,Gate_Oxide_Thickness,Etch_Time,Temperature,Chamber_Pressure,Voltage,Gas_Flow_Rate,Timestamp
WF_000040,BATCH_008,MACH_004,Post-Etch,96.5,3,None,88.8,115.32,252.31,47.92,118.65,444.42,2026-05-07 05:51:55
WF_000041,BATCH_033,MACH_001,Post-Etch,96.5,3,None,91.647,124.41,243.31,53.46,118.51,443.54,2026-05-07 05:36:55
WF_000042,BATCH_069,MACH_003,Post-Etch,95.0,6,Micro-crack,91.489,115.14,243.4,53.66,121.18,445.31,2026-05-07 05:21:55
WF_000043,BATCH_081,MACH_004,Post-Etch,95.0,6,Micro-crack,91.8,116.29,256.77,53.28,120.23,451.66,2026-05-07 05:06:55
WF_000044,BATCH_045,MACH_003,Post-Etch,96.0,4,None,90.37,120.52,243.16,51.07,121.06,465.41,2026-05-07 04:51:55
WF_000045,BATCH_094,MACH_005,Post-Etch,97.0,2,None,90.025,115.15,248.48,49.5,120.97,456.45,2026-05-07 04:36:55
WF_000046,BATCH_098,MACH_002,Post-Etch,93.0,10,Pattern Distortion,93.93,116.47,254.12,57.08,120.25,445.46,2026-05-07 04:21:55
WF_000047,BATCH_074,MACH_001,Post-Etch,96.0,4,None,89.155,121.98,250.64,49.04,118.85,443.98,2026-05-07 04:06:55
WF_000048,BATCH_004,MACH_004,Post-Etch,97.0,2,None,90.683,115.41,254.57,51.49,119.71,470.55,2026-05-07 03:51:55
WF_000049,BATCH_082,MACH_005,Post-Etch,97.0,2,None,89.452,122.99,245.92,48.88,118.57,448.08,2026-05-07 03:36:55
WF_000050,BATCH_086,MACH_001,Post-Etch,97.0,2,None,90.967,119.85,238.59,51.7,119.38,442.64,2026-05-07 03:21:55
WF_000051,BATCH_028,MACH_002,Post-Etch,97.0,2,None,90.516,119.47,246.87,50.64,120.85,440.12,2026-05-07 03:06:55
WF_000052,BATCH_015,MACH_003,Post-Etch,96.5,3,None,89.199,121.49,251.47,49.02,120.26,437.09,2026-05-07 02:51:55
WF_000053,BATCH_100,MACH_002,Post-Etch,91.5,13,Etch Pit,95.588,124.87,251.03,61.33,121.01,445.59,2026-05-07 02:36:55
WF_000054,BATCH_033,MACH_005,Post-Etch,98.0,0,None,89.823,124.75,246.66,49.59,117.72,457.97,2026-05-07 02:21:55
WF_000055,BATCH_062,MACH_003,Post-Etch,96.5,3,None,90.619,117.42,250.5,51.5,118.33,455.43,2026-05-07 02:06:55
WF_000056,BATCH_090,MACH_001,Post-Etch,97.0,2,None,89.789,119.54,252.85,49.57,120.14,457.64,2026-05-07 01:51:55
WF_000057,BATCH_023,MACH_005,Post-Etch,97.0,2,None,90.215,123.51,243.0,50.46,119.42,452.61,2026-05-07 01:36:55
WF_000058,BATCH_050,MACH_004,Post-Etch,97.0,2,None,90.34,122.95,244.88,50.74,119.4,450.87,2026-05-07 01:21:55
WF_000059,BATCH_030,MACH_004,Post-Etch,96.5,3,None,90.404,124.0,247.79,50.92,120.65,437.09,2026-05-07 01:06:55
WF_000060,BATCH_038,MACH_005,Post-Etch,95.0,6,Etch Pit,87.873,120.43,253.04,45.35,121.51,431.39,2026-05-07 00:51:55
WF_000061,BATCH_007,MACH_003,Post-Etch,96.5,3,None,91.256,117.05,254.58,52.18,121.71,449.68,2026-05-07 00:36:55
WF_000062,BATCH_010,MACH_002,Post-Etch,93.0,10,Photoresist Residue,93.513,122.22,255.05,57.34,119.96,450.87,2026-05-07 00:21:55
WF_000063,BATCH_027,MACH_002,Post-Etch,93.0,10,Etch Pit,93.815,116.53,239.02,58.05,121.01,433.68,2026-05-07 00:06:55
WF_000064,BATCH_062,MACH_005,Post-Etch,98.0,0,None,90.044,124.19,247.44,49.46,119.56,456.43,2026-05-06 23:51:55
WF_000065,BATCH_037,MACH_005,Post-Etch,96.0,4,None,90.79,124.85,246.05,50.94,121.88,463.45,2026-05-06 23:36:55
WF_000066,BATCH_054,MACH_004,Post-Etch,96.0,4,None,89.381,122.88,247.44,49.05,120.95,439.45,2026-05-06 23:21:55
WF_000067,BATCH_041,MACH_002,Post-Etch,96.5,3,None,91.788,124.13,248.95,53.27,118.44,422.15,2026-05-06 23:06:55
WF_000068,BATCH_071,MACH_001,Post-Etch,95.5,5,None,89.317,116.84,255.19,48.6,119.09,442.79,2026-05-06 22:51:55
WF_000069,BATCH_096,MACH_001,Post-Etch,97.5,1,None,89.985,115.37,242.58,50.03,119.98,451.98,2026-05-06 22:36:55
WF_000070,BATCH_018,MACH_003,Post-Etch,96.5,3,None,88.887,118.34,255.2,48.0,122.43,469.5,2026-05-06 22:21:55
WF_000071,BATCH_032,MACH_003,Post-Etch,95.0,6,Etch Pit,90.539,120.06,232.16,51.03,119.71,464.15,2026-05-06 22:06:55
WF_000072,BATCH_067,MACH_001,Post-Etch,96.0,4,None,90.981,119.06,250.72,51.96,120.86,456.23,2026-05-06 21:51:55
WF_000073,BATCH_007,MACH_002,Post-Etch,92.5,11,Photoresist Residue,94.404,123.31,250.31,58.6,120.77,453.3,2026-05-06 21:36:55
WF_000074,BATCH_038,MACH_005,Post-Etch,96.5,3,None,89.467,120.66,251.31,48.75,121.25,446.33,2026-05-06 21:21:55
WF_000075,BATCH_087,MACH_003,Post-Etch,95.5,5,None,91.221,117.72,248.32,52.69,122.16,456.72,2026-05-06 21:06:55
WF_000076,BATCH_070,MACH_003,Post-Etch,96.0,4,None,88.514,116.37,247.91,46.74,120.55,470.06,2026-05-06 20:51:55
WF_000077,BATCH_031,MACH_001,Post-Etch,97.0,2,None,90.615,116.66,251.28,51.97,121.67,460.14,2026-05-06 20:36:55
WF_000078,BATCH_065,MACH_003,Post-Etch,97.5,1,None,89.905,122.19,243.6,50.37,119.24,443.88,2026-05-06 20:21:55
WF_000079,BATCH_054,MACH_003,Post-Etch,98.0,0,None,89.817,119.96,260.41,49.39,120.1,451.79,2026-05-06 20:06:55
WF_000080,BATCH_098,MACH_005,Post-Etch,96.0,4,None,89.254,115.76,242.4,49.04,122.3,437.32,2026-05-06 19:51:55
WF_000081,BATCH_044,MACH_002,Post-Etch,93.0,10,Etch Pit,91.416,124.88,248.46,52.81,120.66,460.1,2026-05-06 19:36:55
WF_000082,BATCH_026,MACH_005,Post-Etch,96.5,3,None,90.36,120.96,254.09,50.27,120.45,447.87,2026-05-06 19:21:55
WF_000083,BATCH_060,MACH_003,Post-Etch,95.5,5,None,91.279,121.62,249.6,52.04,119.95,424.71,2026-05-06 19:06:55
WF_000084,BATCH_082,MACH_005,Post-Etch,97.5,1,None,90.781,116.85,236.76,51.46,119.78,459.96,2026-05-06 18:51:55
WF_000085,BATCH_032,MACH_002,Post-Etch,93.0,10,Pattern Distortion,94.284,118.55,249.9,58.67,119.35,443.22,2026-05-06 18:36:55
WF_000086,BATCH_068,MACH_002,Post-Etch,94.0,8,Etch Pit,92.852,124.04,246.68,56.08,121.61,454.6,2026-05-06 18:21:55
WF_000087,BATCH_025,MACH_002,Post-Etch,96.0,4,None,92.361,115.47,248.62,54.47,120.05,461.38,2026-05-06 18:06:55
WF_000088,BATCH_090,MACH_001,Post-Etch,96.0,4,None,90.583,120.15,247.48,50.94,120.51,437.51,2026-05-06 17:51:55
WF_000089,BATCH_062,MACH_002,Post-Etch,97.0,2,None,91.391,123.52,261.18,53.49,117.75,441.22,2026-05-06 17:36:55
WF_000090,BATCH_009,MACH_002,Post-Etch,95.0,6,Photoresist Residue,92.202,115.76,252.53,54.36,119.09,459.75,2026-05-06 17:21:55
WF_000091,BATCH_040,MACH_001,Post-Etch,95.0,6,Etch Pit,91.139,123.67,250.22,52.06,120.15,458.63,2026-05-06 17:06:55
WF_000092,BATCH_013,MACH_001,Post-Etch,97.0,2,None,90.809,123.81,260.08,51.0,120.86,460.09,2026-05-06 16:51:55
WF_000093,BATCH_031,MACH_002,Post-Etch,94.5,7,Pattern Distortion,92.752,121.17,249.16,55.66,121.21,441.83,2026-05-06 16:36:55
WF_000094,BATCH_017,MACH_001,Post-Etch,96.5,3,None,89.109,122.54,248.58,48.24,119.61,443.3,2026-05-06 16:21:55
WF_000095,BATCH_020,MACH_004,Post-Etch,97.5,1,None,89.348,120.82,248.35,49.11,120.19,460.74,2026-05-06 16:06:55
WF_000096,BATCH_022,MACH_001,Post-Etch,96.5,3,None,90.102,124.97,247.6,50.26,120.37,444.74,2026-05-06 15:51:55
WF_000097,BATCH_099,MACH_001,Post-Etch,96.5,3,None,88.968,121.8,239.82,47.54,119.82,456.49,2026-05-06 15:36:55
WF_000098,BATCH_027,MACH_003,Post-Etch,95.5,5,None,89.277,116.59,240.77,48.87,121.16,440.71,2026-05-06 15:21:55
WF_000099,BATCH_017,MACH_001,Post-Etch,95.5,5,None,91.575,115.01,253.2,53.25,117.52,455.14,2026-05-06 15:06:55
WF_000100,BATCH_084,MACH_001,Post-Etch,96.5,3,None,89.366,115.12,243.21,49.37,119.26,449.86,2026-05-06 14:51:55
WF_000101,BATCH_094,MACH_002,Post-Etch,95.0,6,Etch Pit,92.585,116.05,252.82,54.86,117.58,434.16,2026-05-06 14:36:55
WF_000102,BATCH_076,MACH_001,Post-Etch,95.5,5,None,92.758,118.26,252.13,54.8,119.98,455.25,2026-05-06 14:21:55
WF_000103,BATCH_097,MACH_002,Post-Etch,94.5,7,Micro-crack,92.845,124.52,248.76,55.43,119.0,447.19,2026-05-06 14:06:55
WF_000104,BATCH_067,MACH_005,Post-Etch,95.0,6,Photoresist Residue,90.955,120.97,251.05,51.76,121.48,465.24,2026-05-06 13:51:55
WF_000105,BATCH_003,MACH_002,Post-Etch,92.0,12,Pattern Distortion,95.197,122.9,249.14,59.45,119.54,467.32,2026-05-06 13:36:55
WF_000106,BATCH_044,MACH_003,Post-Etch,95.5,5,None,91.752,115.31,247.88,53.46,120.44,450.38,2026-05-06 13:21:55
WF_000107,BATCH_007,MACH_001,Post-Etch,97.0,2,None,89.516,123.67,255.46,49.78,120.93,458.73,2026-05-06 13:06:55
WF_000108,BATCH_036,MACH_001,Post-Etch,96.0,4,None,90.245,118.84,245.49,49.83,119.63,465.1,2026-05-06 12:51:55
WF_000109,BATCH_040,MACH_002,Post-Etch,93.0,10,Pattern Distortion,94.208,119.37,247.55,57.91,119.52,463.88,2026-05-06 12:36:55
WF_000110,BATCH_014,MACH_004,Post-Etch,97.0,2,None,90.31,122.73,238.83,50.47,118.84,453.19,2026-05-06 12:21:55
WF_000111,BATCH_045,MACH_004,Post-Etch,96.5,3,None,89.432,116.46,249.57,48.47,119.24,448.5,2026-05-06 12:06:55
WF_000112,BATCH_020,MACH_005,Post-Etch,96.5,3,None,90.396,119.46,252.94,50.23,119.26,436.95,2026-05-06 11:51:55
WF_000113,BATCH_061,MACH_004,Post-Etch,97.5,1,None,89.583,115.89,241.97,49.36,119.55,451.49,2026-05-06 11:36:55
WF_000114,BATCH_051,MACH_001,Post-Etch,97.0,2,None,90.764,118.08,254.58,50.69,121.0,421.04,2026-05-06 11:21:55
WF_000115,BATCH_008,MACH_002,Post-Etch,93.5,9,Photoresist Residue,92.159,116.13,249.3,53.97,121.91,448.09,2026-05-06 11:06:55
WF_000116,BATCH_046,MACH_001,Post-Etch,97.0,2,None,90.544,121.05,252.48,50.36,120.75,458.39,2026-05-06 10:51:55
WF_000117,BATCH_033,MACH_001,Post-Etch,97.5,1,None,89.861,121.68,255.03,49.5,120.34,464.35,2026-05-06 10:36:55
WF_000118,BATCH_082,MACH_002,Post-Etch,94.5,7,Pattern Distortion,92.806,118.8,251.78,55.22,120.75,446.8,2026-05-06 10:21:55
WF_000119,BATCH_089,MACH_005,Post-Etch,96.5,3,None,91.057,121.43,243.33,52.13,122.25,446.97,2026-05-06 10:06:55
WF_000120,BATCH_046,MACH_002,Post-Etch,95.0,6,Etch Pit,91.218,115.08,265.71,52.65,118.37,451.71,2026-05-06 09:51:55
WF_000121,BATCH_015,MACH_005,Post-Etch,97.5,1,None,89.599,123.03,250.52,49.87,119.25,447.19,2026-05-06 09:36:55
WF_000122,BATCH_008,MACH_003,Post-Etch,96.5,3,None,91.106,116.81,249.51,51.84,118.43,440.1,2026-05-06 09:21:55
WF_000123,BATCH_074,MACH_004,Post-Etch,96.5,3,None,90.349,115.03,247.3,51.03,120.95,443.38,2026-05-06 09:06:55
WF_000124,BATCH_086,MACH_005,Post-Etch,95.0,6,Photoresist Residue,91.421,117.75,249.25,52.65,120.42,439.41,2026-05-06 08:51:55
WF_000125,BATCH_100,MACH_003,Post-Etch,97.5,1,None,89.616,123.63,259.1,48.34,120.24,442.18,2026-05-06 08:36:55
WF_000126,BATCH_081,MACH_005,Post-Etch,96.5,3,None,89.324,115.58,243.81,48.91,119.06,443.0,2026-05-06 08:21:55
WF_000127,BATCH_002,MACH_001,Post-Etch,97.0,2,None,88.792,118.41,253.33,46.9,119.38,468.96,2026-05-06 08:06:55
WF_000128,BATCH_068,MACH_003,Post-Etch,97.5,1,None,90.528,123.94,247.94,51.14,121.63,446.21,2026-05-06 07:51:55
WF_000129,BATCH_073,MACH_003,Post-Etch,96.5,3,None,89.137,123.8,244.5,48.58,119.41,448.02,2026-05-06 07:36:55
WF_000130,BATCH_067,MACH_002,Post-Etch,97.5,1,None,90.236,120.62,250.17,49.8,120.37,462.28,2026-05-06 07:21:55
WF_000131,BATCH_069,MACH_004,Post-Etch,98.0,0,None,90.256,119.5,252.1,51.08,119.08,451.69,2026-05-06 07:06:55
WF_000132,BATCH_017,MACH_004,Post-Etch,96.0,4,None,89.371,120.07,238.32,49.0,119.25,457.89,2026-05-06 06:51:55
WF_000133,BATCH_098,MACH_004,Post-Etch,97.0,2,None,89.08,123.25,251.37,48.64,118.83,434.64,2026-05-06 06:36:55
WF_000134,BATCH_068,MACH_002,Post-Etch,94.0,8,Etch Pit,92.65,122.9,251.83,55.29,118.01,462.18,2026-05-06 06:21:55
WF_000135,BATCH_014,MACH_004,Post-Etch,96.5,3,None,89.25,123.62,249.13,48.49,120.54,441.02,2026-05-06 06:06:55
WF_000136,BATCH_095,MACH_004,Post-Etch,94.5,7,Pattern Distortion,92.571,116.22,249.95,54.93,119.7,443.5,2026-05-06 05:51:55
WF_000137,BATCH_098,MACH_005,Post-Etch,98.0,0,None,90.181,115.18,242.09,50.07,120.24,440.3,2026-05-06 05:36:55
WF_000138,BATCH_060,MACH_002,Post-Etch,95.5,5,None,91.311,116.71,247.71,52.65,118.44,436.69,2026-05-06 05:21:55
WF_000139,BATCH_073,MACH_005,Post-Etch,96.5,3,None,89.106,117.33,242.6,48.58,120.85,455.49,2026-05-06 05:06:55
WF_000140,BATCH_052,MACH_004,Post-Etch,96.0,4,None,88.886,119.82,252.45,47.94,120.47,457.3,2026-05-06 04:51:55
WF_000141,BATCH_086,MACH_005,Post-Etch,97.5,1,None,90.041,121.19,256.64,49.53,118.95,453.87,2026-05-06 04:36:55
WF_000142,BATCH_085,MACH_005,Post-Etch,96.5,3,None,91.239,116.49,252.08,52.15,119.88,445.65,2026-05-06 04:21:55
WF_000143,BATCH_034,MACH_004,Post-Etch,95.5,5,None,91.079,124.55,243.46,52.34,119.14,426.97,2026-05-06 04:06:55
WF_000144,BATCH_009,MACH_001,Post-Etch,97.0,2,None,89.738,117.27,249.01,49.24,119.91,451.53,2026-05-06 03:51:55
WF_000145,BATCH_060,MACH_001,Post-Etch,97.5,1,None,90.996,122.46,252.54,52.02,119.87,443.96,2026-05-06 03:36:55
WF_000146,BATCH_051,MACH_001,Post-Etch,96.5,3,None,88.819,121.6,243.26,48.06,121.2,443.43,2026-05-06 03:21:55
WF_000147,BATCH_038,MACH_002,Post-Etch,96.0,4,None,92.48,124.6,252.68,55.31,119.15,451.74,2026-05-06 03:06:55
WF_000148,BATCH_010,MACH_002,Post-Etch,95.0,6,Micro-crack,92.296,124.28,245.6,53.98,120.93,450.57,2026-05-06 02:51:55
WF_000149,BATCH_025,MACH_001,Post-Etch,96.0,4,None,90.786,115.13,252.54,51.72,117.87,438.86,2026-05-06 02:36:55
WF_000150,BATCH_099,MACH_005,Post-Etch,95.0,6,Photoresist Residue,91.561,115.54,243.94,52.27,119.65,455.49,2026-05-06 02:21:55
WF_000151,BATCH_089,MACH_003,Post-Etch,97.5,1,None,90.021,123.41,253.44,49.81,119.91,458.13,2026-05-06 02:06:55
WF_000152,BATCH_022,MACH_005,Post-Etch,95.5,5,None,91.438,119.62,261.5,52.15,118.1,450.78,2026-05-06 01:51:55
WF_000153,BATCH_005,MACH_001,Post-Etch,96.5,3,None,89.605,121.15,253.12,49.29,120.61,452.45,2026-05-06 01:36:55
WF_000154,BATCH_041,MACH_002,Post-Etch,97.5,1,None,90.507,122.5,253.43,50.89,121.2,450.83,2026-05-06 01:21:55
WF_000155,BATCH_020,MACH_005,Post-Etch,96.5,3,None,89.908,121.96,245.56,49.13,120.72,446.27,2026-05-06 01:06:55
WF_000156,BATCH_074,MACH_005,Post-Etch,96.5,3,None,88.986,120.8,248.0,46.95,121.26,444.48,2026-05-06 00:51:55
WF_000157,BATCH_004,MACH_004,Post-Etch,96.0,4,None,89.135,123.25,249.9,48.67,121.61,465.62,2026-05-06 00:36:55
WF_000158,BATCH_048,MACH_003,Post-Etch,97.0,2,None,89.252,123.01,251.93,48.19,119.7,441.22,2026-05-06 00:21:55
WF_000159,BATCH_057,MACH_003,Post-Etch,96.5,3,None,90.507,120.72,250.95,51.15,121.86,439.23,2026-05-06 00:06:55
WF_000160,BATCH_061,MACH_005,Post-Etch,96.5,3,None,90.865,123.53,251.31,51.44,121.68,466.8,2026-05-05 23:51:55
WF_000161,BATCH_069,MACH_002,Post-Etch,96.0,4,None,92.336,122.28,248.16,54.69,119.81,463.9,2026-05-05 23:36:55
WF_000162,BATCH_035,MACH_002,Post-Etch,95.0,6,Photoresist Residue,91.604,115.45,258.31,53.09,119.4,454.69,2026-05-05 23:21:55
WF_000163,BATCH_007,MACH_004,Post-Etch,97.5,1,None,89.718,119.88,251.78,49.56,119.16,440.77,2026-05-05 23:06:55
WF_000164,BATCH_084,MACH_003,Post-Etch,97.0,2,None,90.834,117.37,257.84,52.11,122.03,436.86,2026-05-05 22:51:55
WF_000165,BATCH_020,MACH_003,Post-Etch,97.5,1,None,89.705,116.91,255.8,49.25,120.54,462.54,2026-05-05 22:36:55
WF_000166,BATCH_019,MACH_001,Post-Etch,96.5,3,None,90.274,119.04,249.98,50.61,119.87,441.77,2026-05-05 22:21:55
WF_000167,BATCH_041,MACH_003,Post-Etch,96.5,3,None,91.382,117.16,251.2,52.86,118.66,455.52,2026-05-05 22:06:55
WF_000168,BATCH_098,MACH_002,Post-Etch,93.5,9,Pattern Distortion,92.818,116.65,255.75,55.76,121.12,441.57,2026-05-05 21:51:55
WF_000169,BATCH_086,MACH_004,Post-Etch,96.5,3,None,89.102,118.44,251.12,48.05,120.46,465.83,2026-05-05 21:36:55
WF_000170,BATCH_097,MACH_004,Post-Etch,97.0,2,None,89.374,116.87,256.32,49.07,119.2,428.7,2026-05-05 21:21:55
WF_000171,BATCH_092,MACH_004,Post-Etch,96.0,4,None,88.913,119.48,248.97,48.38,120.93,460.5,2026-05-05 21:06:55
WF_000172,BATCH_002,MACH_004,Post-Etch,96.5,3,None,89.463,119.4,254.17,49.14,119.73,454.83,2026-05-05 20:51:55
WF_000173,BATCH_032,MACH_003,Post-Etch,95.5,5,None,90.332,121.87,247.42,50.68,119.46,439.42,2026-05-05 20:36:55
WF_000174,BATCH_097,MACH_003,Post-Etch,95.0,6,Etch Pit,88.8,123.8,247.38,47.49,120.48,447.65,2026-05-05 20:21:55
WF_000175,BATCH_021,MACH_002,Post-Etch,94.0,8,Etch Pit,92.202,121.34,247.86,54.22,121.64,452.49,2026-05-05 20:06:55
WF_000176,BATCH_016,MACH_004,Post-Etch,97.0,2,None,89.481,115.77,243.93,49.36,119.32,454.7,2026-05-05 19:51:55
WF_000177,BATCH_004,MACH_003,Post-Etch,96.5,3,None,90.332,115.59,248.32,50.87,119.41,448.08,2026-05-05 19:36:55
WF_000178,BATCH_097,MACH_002,Post-Etch,95.0,6,Contamination,91.641,124.66,257.22,53.66,118.86,436.86,2026-05-05 19:21:55
WF_000179,BATCH_083,MACH_001,Post-Etch,96.0,4,None,90.874,119.5,248.48,51.69,120.5,450.39,2026-05-05 19:06:55
WF_000180,BATCH_061,MACH_005,Post-Etch,98.0,0,None,89.947,117.26,249.4,49.56,120.09,444.2,2026-05-05 18:51:55
WF_000181,BATCH_068,MACH_001,Post-Etch,97.0,2,None,90.093,117.68,247.24,49.29,120.79,455.59,2026-05-05 18:36:55
WF_000182,BATCH_085,MACH_002,Post-Etch,93.5,9,Photoresist Residue,92.797,124.11,246.33,55.34,120.35,461.64,2026-05-05 18:21:55
WF_000183,BATCH_019,MACH_001,Post-Etch,96.5,3,None,91.281,116.04,249.31,51.91,121.61,463.15,2026-05-05 18:06:55
WF_000184,BATCH_045,MACH_004,Post-Etch,98.0,0,None,89.749,115.4,253.71,49.58,118.25,459.07,2026-05-05 17:51:55
WF_000185,BATCH_027,MACH_002,Post-Etch,96.5,3,None,91.207,115.06,247.85,52.11,118.59,449.17,2026-05-05 17:36:55
WF_000186,BATCH_062,MACH_001,Post-Etch,97.5,1,None,89.999,117.78,251.49,50.58,119.69,432.06,2026-05-05 17:21:55
WF_000187,BATCH_049,MACH_005,Post-Etch,95.0,6,Pattern Distortion,88.681,118.95,248.42,48.23,120.27,451.04,2026-05-05 17:06:55
WF_000188,BATCH_019,MACH_004,Post-Etch,97.0,2,None,90.003,121.36,254.16,49.64,120.77,465.31,2026-05-05 16:51:55
WF_000189,BATCH_047,MACH_005,Post-Etch,97.0,2,None,90.213,116.21,247.29,50.29,119.39,442.92,2026-05-05 16:36:55
WF_000190,BATCH_040,MACH_004,Post-Etch,96.5,3,None,90.111,121.36,249.34,50.15,119.78,443.5,2026-05-05 16:21:55
